        B,        I,        MP,        R,        V,       Kp,      DEC,    PM_RA,   PM_DEC,  H_2MASS,  J_2MASS,  K_2MASS ID,RA
19.0346,17.9814,12.3527,18.1371,18.473,18.276770000000003,11.624001,12.0252,4.6784,-99.999,-99.999,  -99.999  0000518,132.66405
12.9618,11.8446,0.0004,11.8746,12.0596,11.9839,11.625059,8.4591,2.5311,10.302,10.662,   10.199  0000519,132.6875
18.9129,16.5294,95.6283,17.032,17.6168,17.09306,11.627171,0.9611,-0.4448,14.552999999999999,15.149000000000001,   14.393  0000525,132.82451
16.0907,14.8599,98.6813,15.0427,15.284,15.152870000000002,11.626719,-0.162,1.5994,13.383,13.790999999999999,   13.331  0000527,132.64918
17.7026,16.3502,63.1751,16.6007,16.9044,16.724239999999998,11.627187,0.5382,5.2158,14.635,15.197000000000001,   14.633  0000530,132.6278
20.9456,17.3413,64.6485,18.8104,19.9175,18.62129,11.628702,2.2154,-5.358,15.142000000000001,15.884,   14.964  0000533,132.67947
19.223,17.137,13.275,17.6086,18.0995,17.7406,11.629989,7.1859,5.6107,15.259,15.895999999999999,   15.236  0000536,132.9143
19.6322,15.8813,8.7914,17.4145,18.1233,17.1838,11.630718,-10.7893,8.0457,13.859000000000002,14.46,   13.675  0000537,132.87203
19.5149,16.401,94.2529,17.4941,18.2939,17.44716,11.630452,-0.6234,1.9821,14.390999999999998,15.007,   14.192  0000539,132.6711
13.7732,13.0327,99.2581,13.0662,13.2396,13.16725,11.632597,0.4013,0.9937,11.864,12.102,   11.778  0000542,132.89352
-99.999,17.1956,37.9017,19.1289,19.5599,18.726860000000002,11.632242999999999,12.5449,-6.2022,15.061,15.674000000000001,   14.631  0000543,132.83246
20.8008,17.3842,61.3584,18.7035,19.4527,18.49661,11.633056,-0.4823,7.1804,15.33,15.932,   15.104  0000545,132.84256000000002
20.3228,16.8151,81.4294,18.0451,18.7881,17.94546,11.63299,-0.6698,4.2995,14.857000000000001,15.433,   14.574  0000547,132.67183
-99.999,18.5605,52.2213,19.3214,19.678,19.391560000000002,11.634936,5.0063,4.4007,-99.999,-99.999,  -99.999  0000549,132.83168999999998
17.4439,15.9226,0.0,16.1983,16.5003,16.32818,11.635539,10.1878,-0.3693,14.22,14.809000000000001,   14.156  0000550,132.92226000000002
19.6367,16.8712,30.1232,17.6197,18.2881,17.664170000000002,11.634428999999999,0.1022,9.2266,14.824000000000002,15.552,   14.689  0000551,132.68169
14.7579,13.9495,99.178,13.9611,14.1612,14.104479999999999,11.635579,-0.0892,0.3391,12.68,12.974,   12.640  0000553,132.73553
